2021-05-16 12:02:29.433 | INFO     | bitcoin_models:__init__:39 - CREATED MINER MINER_A
2021-05-16 12:02:29.434 | INFO     | bitcoin_models:__init__:39 - CREATED MINER MINER_B
2021-05-16 12:02:29.434 | INFO     | bitcoin_models:__init__:39 - CREATED MINER MINER_C
2021-05-16 12:02:29.434 | INFO     | bitcoin_models:__init__:39 - CREATED MINER MINER_D
2021-05-16 12:02:29.437 | INFO     | bitcoin_models:generate_block:76 - [162] MINER_D GENERATED BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab ON a23d80bd-1980-4ac7-9014-35cd9e81be0f
2021-05-16 12:02:29.437 | INFO     | bitcoin_models:__consume:62 - [164] MINER_C RECEIVED INV MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.438 | INFO     | bitcoin_models:__consume:64 - [164] MINER_C RESPONDED WITH GETDATA
2021-05-16 12:02:29.438 | INFO     | bitcoin_models:__consume:68 - [166] MINER_D RECEIVED GETDATA MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.439 | INFO     | bitcoin_models:__consume:58 - [170] MINER_C RECEIVED BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.439 | INFO     | bitcoin_models:__consume:62 - [172] MINER_D RECEIVED INV MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.440 | INFO     | bitcoin_models:__consume:62 - [172] MINER_B RECEIVED INV MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.440 | INFO     | bitcoin_models:__consume:64 - [172] MINER_B RESPONDED WITH GETDATA
2021-05-16 12:02:29.441 | INFO     | bitcoin_models:__consume:68 - [174] MINER_C RECEIVED GETDATA MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.441 | INFO     | bitcoin_models:__consume:58 - [178] MINER_B RECEIVED BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.442 | INFO     | bitcoin_models:__consume:62 - [180] MINER_C RECEIVED INV MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.442 | INFO     | bitcoin_models:__consume:62 - [180] MINER_A RECEIVED INV MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.442 | INFO     | bitcoin_models:__consume:64 - [180] MINER_A RESPONDED WITH GETDATA
2021-05-16 12:02:29.443 | INFO     | bitcoin_models:__consume:68 - [182] MINER_B RECEIVED GETDATA MESSAGE FOR BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
2021-05-16 12:02:29.443 | INFO     | bitcoin_models:__consume:58 - [186] MINER_A RECEIVED BLOCK 4552fa94-74f5-4089-8f4d-88e6271e80ab
